ts	phase	decision	why	evidence	result
2026-09-02T16:59:07Z	frame	ran the full repository validation before changes	needed a clean baseline before judging refactor regressions	package.json:validate, commit 8fb1db2	pnpm validate exited 0
2026-09-02T17:11:09Z	frame	rejected a file-by-file rewrite and set six observable completion checks	the audit found concrete boundary and protocol failures, while unchanged packages already pass validation	389 tracked files, 102 source files, four audit-agent reports	high-rigor targeted refactor selected
2026-09-02T17:35:19Z	design	selected Daybreak as the architecture base and grafted bounded pieces from Terra and Sol	an independent judge scored three candidates and resolved six disputed compatibility choices	candidate-daybreak.md, candidate-terra.md, candidate-sol.md, architecture_judge report	stable result schema, derived assessment, host-declared kinds, exact IDs, seven-package registry, and parse API deletion selected
2026-09-02T18:04:48Z	implementation	replaced weak core guards with strict boundary schemas	untrusted input, provider artifacts, recovery patches, and exporter data previously reached code with malformed nested values	core boundary changes; core lint, typecheck, 116 tests, and build	boundary phase passed focused verification
2026-09-02T18:04:48Z	implementation	fixed parser regressions in their owning modules	course numbers, label substrings, misleading evidence, date order, and term-excluded conflicts were reproduced before patching	parser-regressions.test.ts; 37 focused tests and source typecheck	parser lane passed focused verification
2026-09-02T18:04:48Z	implementation	made one registry own all current non-private package release order	the release workflow and seven manifests disagreed about publish scope	public-packages registry; nine negative tests; seven dry-pack commands; provider checks	package and release lane passed focused verification
2026-09-02T18:04:48Z	implementation	made the Vercel recovery adapter consume the core recovery schema	the new discriminated patch type exposed the adapter's duplicated loose schema and unsafe casts	provider-vercel-ai typecheck, four tests, and build	provider boundary compatibility restored
2026-09-02T18:22:37Z	implementation	centralized result assessment and correction in core	React, web, and CLI had separate usability, warning, correction, and recomputation rules	core 128 tests; React 4; web 8; CLI 7; package checks; Chromium correction and ICS flow	shared result policy passed focused and running-surface verification
2026-09-02T18:55:06Z	implementation	enforced one parse-wide deadline and truthful recovery accounting	provider extraction could wait forever and no-op recovery was reported as applied	deadline.test.ts and provider-recovery.test.ts; 16 focused tests; 135 core tests; core typecheck and build	deadline and recovery phase passed focused verification
2026-09-02T18:55:06Z	implementation	made the agent contract describe and enforce its configured runtime	static mutable discovery, binary overclaims, missing assessment, unsafe IDs, and fatal size fallbacks broke autonomous callers	agent 15 tests and build; CLI 9 tests and build; manual JSONL and CSV stdin process checks	agent and CLI phase passed focused and process-surface verification
2026-09-02T18:55:06Z	implementation	closed provider-output and schedule-boundary regressions	image fixture identity, transformed CSV text, and disjoint weekly bounds failed after strict boundary review	PDF provider 8 tests; 31 focused core tests; core typecheck	integration regressions passed focused verification
2026-09-02T20:41:36Z	implementation	exposed exact agent schemas and removed the unused parse API	the first-party UI parsed locally while the HTTP route duplicated a looser unowned protocol	three schema routes and parity tests; /api/parse 404; 48 browser runs	web contract passed route and browser verification
2026-09-02T20:41:36Z	review	closed every actionable independent-review finding	capability honesty, protocol line bounds, provider timeout overflow, upload races, and recovery timeout fallback required final adversarial checks	core 162 tests; agent 21 tests; provider 8 tests; reviewer APPROVE	independent code review approved with documented residuals only
2026-09-02T20:41:36Z	verification	ran the complete release gate on the final worktree	all refactor lanes needed one integrated Node 24 proof after focused checks	mise exec node@24 -- pnpm validate; 85.12% branch coverage; 48 browser runs; 94 links; 133 package licenses	full validation exited 0
2026-09-02T20:41:36Z	manual-qa	drove the library, CLI, JSONL protocol, HTTP schemas, and browser playground	the refactor had to work through the same surfaces used by people and agents	built library driver; CSV stdin; JSONL capabilities and parse; local HTTP routes; three-browser playground	all requested agent-facing surfaces worked with fictional data
2026-09-02T22:17:06Z	release-gate	aligned all public agent copy and reran the complete release gate	the security, documentation, and privacy pages had to describe configured binary input and request IDs exactly	mise exec node@24 -- pnpm validate; 162 core tests; 48 browser runs; 94 links; 133 package licenses	final pre-deploy validation exited 0
